LIMIT_BAL,EDUCATION,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,MALE,FEMALE,MARRIED,SINGLE,OTHERS,default.payment.next.month
0.35353535353535354,2,26,1,0,0,0,0,0,0.1465191741196063,0.0662204329852293,0.08634460206231301,0.16013775614976083,0.08064808801146252,0.26097872304454045,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
0.0707070707070707,1,26,0,0,2,2,2,2,0.18029875470205498,0.10470358011897032,0.10917213741652496,0.19931969713240377,0.12354723080202876,0.29433236991332296,0.0034342546293752406,0.0011874658232492747,0.0011160216061782955,0.004025764895330112,0.002344506469665603,0.0037831069143845074,0,1,0,1,0,1
0.09090909090909091,2,37,0,0,0,0,0,0,0.30399410312974795,0.16887980351292767,0.09496292042234536,0.17083213230016223,0.08987560795434828,0.2684276170839651,0.0035281242559114974,0.0012005279473050166,0.0011160216061782955,0.001610305958132045,0.0011722532348328015,0.0005674660371576761,0,1,0,1,0,1
0.494949494949495,2,35,0,0,0,0,0,0,0.32989998150591415,0.278809689211812,0.2376689197536117,0.3674577471820465,0.2953044357737443,0.36555833660578496,0.02289617561404473,0.017911734477892058,0.006720682112405696,0.010265700483091788,0.011734254880676342,0.00945776728596127,1,0,0,1,0,0
0.0101010101010101,1,37,1,0,0,2,2,0,0.14641918217205518,0.06611319264919692,0.09232202653741475,0.16994666470733413,0.08040515416383658,0.26079044500475307,0.0018029836804220013,0.006531062027871011,0.0,0.0,0.0,0.009646922631680493,0,1,1,0,0,1
0.020202020202020204,3,31,0,0,0,0,0,0,0.1711525885968475,0.09354394196494664,0.10160139193226134,0.18819389102719894,0.08064808801146252,0.26097872304454045,0.0019495118779420115,0.0007124794939495648,0.002450783447167537,0.004025764895330112,0.0,0.0,1,0,0,1,0,1
0.08080808080808081,1,27,0,0,0,0,0,0,0.15326553348358674,0.0662204329852293,0.08634460206231301,0.16013775614976083,0.08064808801146252,0.26097872304454045,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
0.1717171717171717,2,42,1,0,0,0,0,0,0.1465191741196063,0.0662204329852293,0.08634460206231301,0.16013775614976083,0.08064808801146252,0.26097872304454045,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0
0.4444444444444444,1,53,0,0,0,0,0,0,0.14994633175558428,0.06918045606562728,0.09126951228015656,0.16138400468732633,0.09253697304425859,0.2677705651491969,0.003580782826895251,0.005348346067914733,0.001476496584973885,0.019336553945249597,0.000501724384508439,0.0025100914376941204,1,0,1,0,0,0
0.020202020202020204,2,32,2,0,0,2,2,2,0.1534664022631806,0.07482338560587942,0.09271074854792014,0.1706051134811499,0.09346210479868718,0.27063546528114524,0.0017171273146876203,0.001781198734873912,0.0,0.00322061191626409,0.0,0.0018915534571922537,1,0,0,1,0,1
